"U.S. agricultural exports, State detail by commodity: calendar years 2000-20: sums of 50 states",,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Other plant products 5/,"5,898.2","6,399.8","6,338.1","6,954.4","7,412.5","7,909.1","8,667.5","9,583.4","10,844.0","10,707.7","12,149.2","13,879.5","15,412.6","16,331.7","16,726.1","16,600.3","17,119.1","17,312.1","17,312.5","18,187.8","16,721.7"
,,,,,,,,,,,,,,,,,,,,,
Total agricultural exports 6/,"51,257.7","53,672.7","53,138.0","59,387.0","61,410.9","63,175.9","70,942.4","89,980.4","114,746.0","98,439.2","115,806.3","136,425.9","141,512.2","144,316.9","149,952.8","133,016.2","134,628.7","138,126.9","138,915.5","135,949.6","144,749.3"
,,,,,,,,,,,,,,,,,,,,,
Total animal products,"11,772.5","12,623.4","11,294.9","12,341.1","10,557.8","12,445.9","13,774.4","17,518.8","21,657.1","18,373.4","22,703.1","28,277.4","29,575.0","31,751.6","33,354.0","27,165.6","26,252.1","29,321.0","30,026.1","30,653.7","31,724.5"
Total plant products,"39,485.2","41,049.3","41,843.1","47,045.9","50,853.1","50,729.9","57,168.0","72,461.6","93,088.9","80,065.8","93,103.3","108,148.5","111,937.1","112,565.3","116,598.8","105,850.6","108,376.7","108,805.9","108,889.4","105,295.9","113,024.7"
,,,,,,,,,,,,,,,,,,,,,
"1/ Includes other nonpoultry meats, animal fat, live farm animals, and other animal parts.",,,,,,,,,,,,,,,,,,,,,
"2/ Includes turkey meat, eggs, and other fowl products. ",,,,,,,,,,,,,,,,,,,,,
"3/ Includes processed feeds, fodder, barley, oats, rye, and sorghum.",,,,,,,,,,,,,,,,,,,,,
"4/ Includes peanuts (oilstock), other oil crops, corn meal, other oilcake and meal, protein substances, bran, and residues.",,,,,,,,,,,,,,,,,,,,,
"5/ Includes sweeteners and products, other horticulture products, planting seeds, cocoa, coffee, and other processed foods.",,,,,,,,,,,,,,,,,,,,,
"Data sources: USDA, Economic Research Service; USDA, Foreign Agricultural Service, Global Agricultural Trade System.",,,,,,,,,,,,,,,,,,,,,
"6/ “Total agricultural exports” is the sum of the above categories, and does not include distilled spirits or ethanol",,,,,,,,,,,,,,,,,,,,,
